Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS3,Medio,Action,Square Enix,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Role-Playing,Capcom,Baixissimo,Baixissimo,Baixo,Baixissimo,Medio
WiiU,Novo,Action,Nintendo,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Action,Vivendi Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Misc,Disney Interactive Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
WiiU,Novo,Misc,Nintendo,Baixissimo,Baixo,Baixo,Baixissimo,Medio
PS3,Novo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
SNES,Muito antigo,Role-Playing,Square,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
N64,Antigo,Platform,Nintendo,Baixo,Baixissimo,Medio,Baixissimo,Medio
XB,Antigo,Fighting,Microsoft Game Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Fighting,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GB,Muito antigo,Adventure,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PS,Muito antigo,Fighting,Acclaim Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Platform,THQ,Medio,Baixo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Role-Playing,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
GEN,Muito antigo,Platform,Sega,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Platform,Nintendo,Baixo,Baixissimo,Medio,Baixissimo,Medio
PS2,Antigo,Fighting,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
XB,Antigo,Shooter,Ubisoft,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Action,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Novo,Shooter,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Square Enix,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GBA,Medio,Action,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Novo,Shooter,Activision,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Simulation,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Sports,Electronic Arts,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
PS2,Antigo,Simulation,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Novo,Role-Playing,Square Enix,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
XB,Antigo,Shooter,Activision,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Konami Digital Entertainment,Baixissimo,Baixo,Baixo,Baixissimo,Medio
X360,Medio,Shooter,Microsoft Game Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Puzzle,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
SNES,Muito antigo,Platform,Capcom,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Platform,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
DS,Medio,Simulation,505 Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Medio,Simulation,Konami Digital Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Misc,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Adventure,LucasArts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Role-Playing,Namco Bandai Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Shooter,Valve,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Misc,MTV Games,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
XOne,Novo,Racing,Microsoft Game Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Platform,Sega,Baixo,Baixo,Baixissimo,Baixissimo,Medio
N64,Muito antigo,Racing,Nintendo,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS4,Novo,Role-Playing,Activision,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PSV,Medio,Shooter,Sony Computer Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Novo,Shooter,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS4,Novo,Shooter,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Action,989 Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GB,Antigo,Action,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Novo,Action,Disney Interactive Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Platform,Universal Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Bethesda Softworks,Medio,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Action,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS4,Novo,Shooter,Sony Computer Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS4,Novo,Role-Playing,Bethesda Softworks,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Medio,Shooter,Activision,Baixo,Baixissimo,Baixissimo,Baixo,Medio
DS,Medio,Simulation,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PC,Medio,Shooter,Activision,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
XB,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Role-Playing,Ubisoft,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PC,Medio,Simulation,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Puzzle,Warner Bros Interactive Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Platform,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Misc,Mindscape,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Simulation,Sony Computer Entertainment Europe,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
XB,Antigo,Racing,Electronic Arts,Medio,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Misc,Nintendo,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
GBA,Antigo,Puzzle,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Sports,Activision Value,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS4,Novo,Racing,Ubisoft,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
PS2,Medio,Sports,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Medio,Medio
Wii,Medio,Sports,Namco Bandai Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Puzzle,Nintendo,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
Wii,Medio,Platform,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
SNES,Muito antigo,Puzzle,Banpresto,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
DS,Medio,Action,D3Publisher,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Medio,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Shooter,Sony Computer Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
XOne,Novo,Sports,Take-Two Interactive,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Action,THQ,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Novo,Action,Deep Silver,Medio,Baixo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Misc,Sony Computer Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Role-Playing,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Novo,Sports,Electronic Arts,Baixo,Medio,Baixissimo,Baixissimo,Medio
N64,Muito antigo,Fighting,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Fighting,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Action,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Racing,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Role-Playing,Infogrames,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PC,Medio,Strategy,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GC,Antigo,Action,Capcom,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PSV,Medio,Action,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PSP,Medio,Shooter,LucasArts,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Medio,Misc,Oxygen Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Sony Computer Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Warner Bros Interactive Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GB,Muito antigo,Puzzle,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PS,Muito antigo,Shooter,Namco Bandai Games,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PC,Antigo,Simulation,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Action,LucasArts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Simulation,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Action,Nintendo,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Sports,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Sports,THQ,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
PS,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Fighting,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS4,Novo,Platform,Sony Computer Entertainment Europe,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
XB,Antigo,Shooter,Activision,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Platform,Capcom,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Antigo,Sports,Activision,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Adventure,THQ,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PC,Novo,Strategy,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
XB,Antigo,Racing,Microsoft Game Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Racing,Midway Games,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Platform,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS4,Novo,Action,Warner Bros Interactive Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Action,Sony Computer Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GEN,Muito antigo,Fighting,Sega,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Shooter,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Midway Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Racing,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Fighting,Atari,Baixo,Baixissimo,Baixo,Baixissimo,Medio
?,Muito antigo,Puzzle,Atari,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GC,Antigo,Misc,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
SNES,Muito antigo,Shooter,Nintendo,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Misc,Namco Bandai Games,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Role-Playing,Enix Corporation,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
X360,Medio,Shooter,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Role-Playing,Square Enix,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
GBA,Antigo,Platform,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
Wii,Medio,Action,Disney Interactive Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
?,Muito antigo,Puzzle,Atari,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Shooter,Red Storm Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Action,Capcom,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Action,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Simulation,Microsoft Game Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS4,Novo,Adventure,Sony Computer Entertainment Europe,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
XB,Antigo,Sports,Sega,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Medio,Simulation,Microsoft Game Studios,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
GC,Antigo,Strategy,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PC,Novo,Shooter,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Platform,Sega,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Platform,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Novo,Sports,Take-Two Interactive,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Square Enix,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Novo,Misc,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Shooter,Bethesda Softworks,Baixo,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Sports,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
GC,Antigo,Racing,Nintendo,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Racing,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Role-Playing,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Novo,Shooter,Microsoft Game Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GB,Muito antigo,Sports,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
GB,Muito antigo,Strategy,Konami Digital Entertainment,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
GC,Antigo,Sports,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Misc,Sony Computer Entertainment,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
DS,Medio,Action,THQ,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
XOne,Novo,Shooter,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Simulation,Konami Digital Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Misc,Activision,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Action,Take-Two Interactive,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
N64,Muito antigo,Racing,Video System,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
?,Muito antigo,Shooter,Activision,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Action,Konami Digital Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Role-Playing,Square Enix,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
PS4,Novo,Action,Hello Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GC,Antigo,Platform,Sega,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Global Star,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PC,Muito antigo,Role-Playing,Activision,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
GC,Medio,Action,Nintendo,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Fighting,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Action,Capcom,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
?,Muito antigo,Platform,Atari,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Sports,Konami Digital Entertainment,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
X360,Medio,Fighting,Ubisoft,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Warner Bros Interactive Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Racing,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS4,Novo,Shooter,Bethesda Softworks,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Sports,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Misc,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Simulation,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS,Antigo,Misc,Sony Computer Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Racing,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Misc,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Misc,Disney Interactive Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
3DS,Medio,Action,Square Enix,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Action,Disney Interactive Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Role-Playing,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
GBA,Antigo,Platform,Vivendi Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Medio,Sports,Konami Digital Entertainment,Baixissimo,Baixissimo,Baixissimo,Medio,Medio
PS2,Antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Shooter,Gotham Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GC,Antigo,Misc,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Sports,Konami Digital Entertainment,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Racing,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Medio,Fighting,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Platform,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PS,Muito antigo,Action,Sony Computer Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS4,Novo,Role-Playing,Namco Bandai Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
SNES,Muito antigo,Action,Capcom,Baixo,Baixissimo,Baixo,Baixissimo,Medio
GB,Antigo,Role-Playing,Enix Corporation,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
GBA,Antigo,Misc,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS4,Novo,Action,Warner Bros Interactive Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,Take-Two Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Action,Bethesda Softworks,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Racing,Atari,Baixo,Baixo,Baixissimo,Baixissimo,Medio
XB,Antigo,Shooter,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
Wii,Medio,Sports,Atari,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Shooter,Take-Two Interactive,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
N64,Antigo,Action,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Antigo,Action,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
XOne,Novo,Action,Ubisoft,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Action,LucasArts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Role-Playing,Namco Bandai Games,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PC,Muito antigo,Strategy,Westwood Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Strategy,Warner Bros Interactive Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
WiiU,Novo,Misc,Nintendo,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
XOne,Novo,Action,Microsoft Game Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Action,Capcom,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
3DS,Novo,Role-Playing,Nintendo,Baixo,Baixissimo,Baixo,Baixissimo,Medio
PS2,Antigo,Role-Playing,Sony Computer Entertainment,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PC,Antigo,Strategy,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Shooter,Ubisoft,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
DS,Medio,Adventure,Disney Interactive Studios,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Shooter,Fox Interactive,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PC,Medio,Shooter,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Fighting,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Simulation,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Action,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
SNES,Muito antigo,Fighting,Acclaim Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,989 Studios,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Shooter,Activision,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
XOne,Novo,Sports,Electronic Arts,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
GC,Antigo,Sports,Nintendo,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Electronic Arts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
WiiU,Novo,Platform,Nintendo,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Shooter,Electronic Arts,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PSP,Medio,Racing,Sega,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Fighting,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Racing,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
NES,Muito antigo,Racing,Nintendo,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
NES,Muito antigo,Shooter,Namco Bandai Games,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
PS,Muito antigo,Racing,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Action,Take-Two Interactive,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
PS3,Medio,Shooter,Activision,Baixo,Baixo,Baixissimo,Baixissimo,Medio
GC,Antigo,Puzzle,Atari,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Action,Namco Bandai Games,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
XOne,Novo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
Wii,Medio,Racing,Sega,Baixo,Baixo,Baixissimo,Baixissimo,Medio
X360,Medio,Action,LucasArts,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PC,Medio,Sports,Sega,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
3DS,Novo,Role-Playing,GungHo,Baixissimo,Baixissimo,Medio,Baixissimo,Medio
NES,Muito antigo,Action,Capcom,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Antigo,Fighting,Electronic Arts,Baixissimo,Medio,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Medio,Action,Electronic Arts,Baixissimo,Baixissimo,Baixissimo,Medio,Medio
PS,Muito antigo,Misc,Hasbro Interactive,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
GC,Antigo,Fighting,Namco Bandai Games,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS3,Medio,Shooter,Sony Computer Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Racing,Crave Entertainment,Baixo,Baixo,Baixissimo,Baixissimo,Medio
PC,Medio,Role-Playing,Square Enix,Baixo,Baixissimo,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Sports,Midway Games,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Shooter,THQ,Baixissimo,Baixo,Baixissimo,Baixissimo,Medio
DS,Medio,Puzzle,Warner Bros Interactive Entertainment,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio,Baixissimo,Baixissimo,Baixissimo,Medio
